$version 2
0,42.3,49.9,57.5
1,46.9,54.7,62.4
2,50.4,58.4,66.4
3,53.2,61.4,69.6
4,55.6,63.9,72.2
5,57.4,65.9,74.3
6,59.1,67.6,76.2
7,60.5,69.2,77.8
8,61.8,70.6,79.4
9,63.0,72.0,80.9
10,64.1,73.3,82.4
11,65.2,74.5,83.9
12,66.2,75.7,85.2
13,67.2,76.9,86.6
14,68.1,78.0,88.0
15,69.0,79.2,89.3
16,69.9,80.2,90.5
17,70.7,81.2,91.8
18,71.5,82.3,93.1
19,72.2,83.2,94.3
20,73.0,84.2,95.5
21,73.6,85.1,96.6
22,74.3,86.1,97.8
23,75.0,86.9,98.9
24,74.9,87.1,99.4
25,75.5,88.0,100.4
26,76.1,88.8,101.5
27,76.7,89.6,102.6
28,77.2,90.4,103.6
29,77.8,91.2,104.6
30,78.3,91.9,105.6
31,78.8,92.7,106.5
32,79.3,93.4,107.4
33,79.8,94.1,108.3
34,80.3,94.8,109.2
35,80.8,95.4,110.1
36,81.3,96.1,110.9
37,81.7,96.7,111.7
38,82.2,97.4,112.6
39,82.6,98.0,113.4
40,83.1,98.6,114.2
41,83.6,99.2,114.9
42,84.0,99.8,115.7
43,84.4,100.5,116.5
44,84.9,101.0,117.2
45,85.3,101.6,118.0
46,85.7,102.2,118.7
47,86.1,102.8,119.4
48,86.6,103.3,120.1
49,87.0,103.9,120.8
50,87.4,104.5,121.5
51,87.8,105.0,122.2
52,88.2,105.6,122.9
53,88.6,106.1,123.6
54,89.0,106.7,124.3
55,89.4,107.2,125.0
56,89.8,107.8,125.7
57,90.2,108.3,126.4
58,90.6,108.9,127.1
59,91.0,109.4,127.8
60,91.4,110.0,128.5
